gen,K1,K2,K3,K4,K5,K6,T1,T2,T3,T4,T5,T6
GEN1363,40,59,27,76,39,192,64,31,88,124,90,39
GEN1364,116,66,125,117,183,265,178,109,97,293,242,183
GEN1365,281,254,182,171,416,671,375,272,289,481,595,361
GEN1366,2,3,5,6,8,16,19,5,9,9,9,17
GEN1367,315,284,344,232,213,413,1376,1509,1592,1652,1951,1825
GEN1368,51,15,37,56,64,137,50,46,33,61,50,82
GEN1369,26,24,17,17,14,64,33,13,19,34,36,14
GEN1370,156,102,118,206,114,362,212,125,109,171,263,198
GEN1371,23,27,44,38,38,100,63,36,18,80,54,52
GEN1372,30,22,45,77,43,76,31,24,47,81,40,46
GEN1373,22,22,22,22,27,19,19,15,25,19,24,21
GEN1374,84,71,56,79,71,150,127,84,71,125,262,75
GEN1375,76,87,57,90,49,105,128,53,88,135,79,44
GEN1376,52,31,37,61,49,69,46,19,64,69,82,78
GEN1377,13,8,6,11,18,31,8,4,5,4,2,1
GEN1378,28,44,14,55,20,52,38,23,46,55,35,45
GEN1379,104,114,115,108,98,171,155,78,130,203,268,95
GEN1380,601,380,401,544,505,1114,76,75,74,146,164,74
GEN1381,36,40,53,31,64,66,59,45,51,127,98,93
GEN1382,845,1091,730,443,564,1190,900,426,504,1361,674,881
GEN1383,41,62,49,45,49,109,79,57,72,172,103,55
GEN1384,9,9,12,15,13,14,17,4,22,16,15,13
GEN1385,209,163,205,183,126,452,307,116,187,307,411,235
GEN1386,9,12,18,15,14,27,12,16,14,13,18,20
GEN1387,156,112,123,129,151,144,262,95,130,226,106,125
GEN1388,254,344,403,405,370,465,418,288,411,585,504,389
GEN1389,48,35,53,24,62,46,38,34,41,37,79,34
GEN1390,50,37,41,70,42,101,70,65,70,98,114,32
GEN1391,3325,2440,1569,3500,2724,7036,2405,2703,3791,7619,3819,2116
GEN1392,54,109,107,100,125,163,55,37,39,59,81,49
GEN1393,129,56,64,126,96,195,126,66,105,221,198,189
GEN1394,143,190,265,216,326,527,635,272,308,698,875,481
GEN1395,36,56,48,58,40,78,45,46,49,165,107,91
GEN1396,29,43,33,76,38,54,52,37,55,59,115,83
GEN1397,89,129,72,170,92,153,144,131,101,127,120,105
GEN1398,5,1,1,2,1,2,6,4,0,2,0,4
GEN1399,531,680,573,375,431,1002,1238,402,664,948,827,861
GEN1400,3,10,12,9,14,27,11,16,8,22,23,23
GEN1401,9,7,9,10,12,21,22,14,9,23,26,6
GEN1402,78,161,66,157,157,289,206,101,131,344,350,233
GEN1403,26,80,39,74,71,214,106,81,67,126,82,94
GEN1404,6,10,2,10,7,10,11,5,7,12,23,6
GEN1405,56,102,39,93,60,143,118,78,151,170,125,92
GEN1406,6,13,5,10,15,9,16,15,20,26,20,15
GEN1407,8,18,21,31,23,51,33,20,22,23,28,38
GEN1408,3,2,9,11,9,9,38,9,14,57,16,20
GEN1409,19,18,23,12,14,26,28,13,13,26,8,12
GEN1410,159,83,105,178,116,389,117,101,135,163,178,73
GEN1411,63,67,33,84,68,123,72,49,94,100,98,58
GEN1412,102,65,74,119,129,168,111,92,63,200,143,130
GEN1413,191,269,297,229,215,480,613,116,186,398,501,499
GEN1414,54,43,49,114,43,127,94,42,79,116,182,76
GEN1415,18,16,28,24,15,21,44,25,19,62,28,10
GEN1416,30,41,29,41,45,54,45,41,32,53,54,41
GEN1417,703,902,726,889,910,2102,1314,643,632,1568,1111,1201
GEN1418,80,37,83,109,61,70,16,17,7,16,22,8
GEN1419,92,123,91,68,125,312,236,93,93,140,168,109
GEN1420,38,68,28,85,58,165,408,230,245,630,427,429
GEN1421,77,85,86,94,72,219,147,89,97,250,105,139
GEN1422,75,131,105,82,130,235,141,98,176,182,275,107
GEN1423,62,43,56,63,46,143,109,48,79,100,118,88
GEN1424,45,49,37,58,82,76,50,49,46,55,72,44
GEN1425,15,22,25,12,20,40,29,19,12,37,31,27
GEN1426,12,12,15,17,18,20,31,14,11,27,9,16
GEN1427,121,111,123,144,164,304,122,84,190,204,192,73
GEN1428,226,314,214,228,143,292,371,276,202,501,349,90
GEN1429,227,301,308,391,167,442,307,307,194,495,440,411
GEN1430,61,45,71,110,62,118,102,41,52,100,115,87
GEN1431,18,14,15,20,16,39,32,22,26,25,32,18
GEN1432,153,129,179,147,124,159,265,228,325,462,274,208
GEN1433,155,160,98,151,216,220,215,92,190,383,219,193
GEN1434,5,5,7,7,6,16,2,6,5,5,8,13
GEN1435,363,253,176,319,259,354,586,236,342,276,368,186
GEN1436,195,209,135,214,215,247,237,141,140,525,174,134
GEN1437,729,541,728,794,755,1637,1434,1401,547,1725,1465,791
GEN1438,11,9,5,3,12,20,11,17,13,13,16,12
GEN1439,3,4,9,11,5,14,17,5,6,18,13,16
GEN1440,253,247,152,110,269,318,363,220,361,358,279,198
GEN1441,7,4,3,3,1,12,8,2,3,6,4,3
GEN1442,15,29,24,25,18,31,14,19,21,42,17,14
GEN1443,1,6,15,16,12,33,9,19,8,21,13,17
GEN1444,14,13,19,12,10,45,12,9,9,24,16,18
GEN1445,2,1,3,4,1,6,6,1,2,4,6,4
GEN1446,51,50,55,44,82,62,332,149,157,589,401,254
GEN1447,270,222,235,233,447,282,604,406,188,693,440,238
GEN1448,116,152,120,93,96,288,269,80,123,269,142,162
GEN1449,106,69,120,118,149,248,232,119,88,131,171,84
GEN1450,16,35,45,24,51,139,48,39,41,46,49,41
GEN1451,831,515,734,1097,760,1190,523,801,667,1683,945,865
GEN1452,106,181,85,85,182,276,476,389,258,636,544,666
GEN1453,358,208,180,374,258,882,562,269,560,728,446,323
GEN1454,2,8,3,10,9,18,12,5,6,11,10,7
GEN1455,100,133,169,164,102,139,236,145,114,361,163,89
GEN1456,12,11,11,13,15,19,10,14,17,30,16,22
GEN1457,99,142,116,133,100,158,192,124,146,196,126,175
GEN1458,77,45,142,74,76,206,127,78,67,212,219,145
GEN1459,7,13,4,18,7,23,13,11,4,16,23,13
GEN1460,48,75,30,57,92,279,103,101,105,182,172,116
GEN1461,454,648,356,399,521,969,688,191,444,880,657,496
GEN1462,83,140,99,149,176,257,238,123,197,437,225,175
GEN1463,145,139,100,177,168,299,165,86,118,294,182,177
GEN1464,30,14,23,8,20,31,23,16,14,41,25,21
GEN1465,21,19,18,29,30,43,29,13,22,34,26,31
GEN1466,12,13,15,2,17,37,16,3,12,25,17,19
GEN1467,74,106,88,83,74,125,98,58,97,120,125,101
GEN1468,216,349,463,339,447,1098,810,220,498,1895,897,579
GEN1469,55,142,101,189,152,375,261,121,169,233,248,144
GEN1470,59,57,61,77,70,93,100,31,90,141,110,94
GEN1471,9,9,15,14,9,33,18,5,4,10,24,17
GEN1472,77,116,175,148,117,302,130,86,168,272,318,124
GEN1473,36,39,43,39,52,71,36,31,34,59,72,56
GEN1474,3,4,3,1,3,8,4,2,2,12,3,4
GEN1475,1,2,7,6,5,8,6,2,5,9,5,5
GEN1476,31,45,26,35,42,36,58,41,34,62,50,36
GEN1477,10,13,16,13,5,17,22,16,10,19,39,16
GEN1478,756,754,468,734,1141,1924,1827,594,1077,1992,2491,1100
GEN1479,55,90,82,102,50,157,103,53,82,94,159,64
GEN1480,6,10,8,13,23,12,12,14,12,17,10,26
GEN1481,34,13,28,26,23,48,42,23,25,50,36,28
GEN1482,771,839,726,1331,1326,1775,1138,523,881,2416,1182,1068
GEN1483,10,18,13,13,17,27,21,21,26,11,17,18
GEN1484,148,383,195,210,252,244,579,170,292,487,350,302
GEN1485,106,68,60,178,176,294,237,123,171,254,217,126
GEN1486,614,320,800,664,618,1335,961,645,480,1257,1201,1123
GEN1487,211,118,184,73,156,308,852,459,427,1180,1014,591
GEN1488,38,9,38,26,40,109,22,24,16,90,59,34
GEN1489,115,124,116,219,142,239,263,97,150,331,241,192
GEN1490,73,62,83,73,90,108,122,75,60,158,83,80
GEN1491,258,276,118,404,221,530,699,249,340,684,640,306
GEN1492,31,58,50,42,59,74,54,39,115,110,84,115
GEN1493,1223,1066,1409,1793,1537,2188,2042,1264,1158,2798,4267,2724
GEN1494,79,41,75,72,63,89,115,62,88,102,108,106
GEN1495,81,189,181,125,127,259,232,99,152,179,248,282
GEN1496,31,20,28,17,13,46,39,42,28,31,39,19
GEN1497,73,54,58,92,90,91,147,106,74,151,175,85
GEN1498,33,64,65,82,84,142,78,37,70,125,108,73
GEN1499,50,116,74,105,95,103,150,90,96,130,213,163
GEN1500,170,298,193,165,182,534,2854,1144,1592,4240,2759,1704
GEN1501,43,22,20,32,29,44,61,40,13,41,50,38
GEN1502,12,11,20,24,25,18,28,11,14,62,14,18
GEN1503,283,322,542,376,487,775,744,374,520,599,658,636
GEN1504,45,33,17,35,34,118,29,32,37,48,63,38
GEN1505,24,11,20,27,17,50,26,21,22,47,21,27
GEN1506,358,431,376,805,378,768,887,362,569,843,457,712
GEN1507,195,367,191,163,164,430,317,202,326,212,435,270
GEN1508,1,1,1,2,1,2,0,0,2,2,1,2
GEN1509,40,31,22,34,40,77,32,16,53,43,65,59
GEN1510,217,155,149,153,236,483,324,87,348,863,368,291
GEN1511,205,260,288,153,158,633,274,205,454,562,564,446
GEN1512,18,20,61,21,39,68,49,21,44,53,60,41
GEN1513,713,737,669,925,783,1550,1268,707,765,1801,775,813
GEN1514,18,22,12,22,21,53,29,26,33,54,27,34
GEN1515,44,52,41,60,57,82,67,63,49,56,64,52
GEN1516,59,19,67,54,53,160,43,77,56,187,119,82
GEN1517,41,104,54,96,88,111,97,89,58,106,70,56
GEN1518,361,214,248,139,265,496,327,243,256,405,492,293
GEN1519,324,295,263,391,395,857,450,246,359,1057,893,534
GEN1520,57,44,63,77,43,132,137,64,44,131,139,121
GEN1521,382,500,643,494,621,827,860,412,894,836,762,664
GEN1522,19,22,30,30,9,31,49,10,29,43,52,39
GEN1523,57,37,51,22,48,96,86,33,54,65,52,58
GEN1524,915,812,990,986,1363,1506,1256,635,811,2211,1597,1359
GEN1525,70,127,65,90,80,191,96,52,58,132,125,123
GEN1526,397,247,383,299,583,646,513,327,468,276,492,563
GEN1527,47,61,15,37,39,71,83,42,20,63,43,20
GEN1528,36,37,31,60,37,105,4,3,8,12,8,8
GEN1529,58,63,63,26,42,102,102,33,89,129,148,80
GEN1530,70,45,58,98,120,162,87,75,56,182,229,131
GEN1531,32,40,25,31,37,35,56,23,68,78,68,27
GEN1532,68,63,55,40,37,171,103,54,79,124,164,114
GEN1533,164,90,140,301,251,373,348,186,288,452,252,236
GEN1534,666,306,461,425,430,588,686,221,604,466,695,707
GEN1535,77,114,61,67,77,146,173,57,64,113,123,106
GEN1536,174,136,267,328,106,349,243,208,238,304,281,244
GEN1537,245,320,210,262,359,465,283,103,194,951,368,396
GEN1538,7,3,13,13,13,22,22,6,11,51,17,19
GEN1539,4,2,4,6,5,9,7,5,7,5,4,3
GEN1540,1081,1135,1136,728,1382,1944,1301,562,353,1692,1543,975
GEN1541,480,667,552,746,541,1361,926,418,365,1274,732,361
GEN1542,84,68,76,96,42,126,87,54,60,62,125,79
GEN1543,111,92,46,107,88,122,105,93,87,269,176,218
GEN1544,11,16,21,24,24,30,28,12,15,24,20,18
GEN1545,4,10,6,6,10,12,12,5,16,14,14,16
GEN1546,130,84,117,156,95,209,170,90,181,231,170,153
GEN1547,5,7,6,6,9,3,7,1,14,8,7,13
GEN1548,263,139,338,379,362,802,448,358,258,473,756,399
GEN1549,17,20,21,12,35,51,50,22,25,45,52,32
GEN1550,64,83,125,89,65,317,197,63,154,144,115,100
GEN1551,722,1325,1221,847,998,3033,1572,949,2317,2777,2829,1372
GEN1552,1158,1196,1418,1959,1334,2132,2264,1081,1645,2551,2389,1403
GEN1553,41,37,52,45,50,142,92,28,46,101,45,74
GEN1554,317,226,272,446,381,348,957,325,259,1021,799,248
GEN1555,8,12,12,10,26,19,21,8,5,17,18,16
GEN1556,18,22,26,32,19,64,19,23,32,75,66,49
GEN1557,76,173,62,95,152,252,222,166,160,226,277,196
GEN1558,764,626,689,523,883,1644,825,480,833,1245,1021,437
GEN1559,30,27,25,20,20,31,47,13,33,43,73,26
GEN1560,92,189,145,179,78,408,203,91,179,263,317,124
GEN1561,51,69,72,83,65,179,185,84,85,161,56,96
GEN1562,6,15,9,6,4,10,22,10,9,20,12,3
GEN1563,49,45,29,52,41,155,37,10,36,40,43,26
GEN1564,975,997,630,637,827,1132,684,574,762,829,1120,845
GEN1565,34,59,35,62,56,49,71,41,67,70,90,68
GEN1566,202,91,104,127,140,407,259,152,200,219,161,214
GEN1567,220,174,180,416,212,425,371,274,412,660,456,161
GEN1568,22,14,13,11,10,35,44,15,34,32,44,21
GEN1569,528,438,273,515,697,535,597,572,657,1087,1041,528
GEN1570,634,771,583,955,640,1332,978,862,487,2517,995,772
GEN1571,724,696,870,1707,833,1836,1134,462,1206,1194,1579,502
GEN1572,705,504,325,748,442,879,2868,4520,2885,4355,4760,6502
GEN1573,25,35,35,30,40,54,39,40,23,60,42,24
GEN1574,33,20,18,15,29,39,36,33,34,43,33,35
GEN1575,31,18,23,23,17,33,33,22,19,23,25,35
GEN1576,13,30,14,19,5,24,19,7,11,24,15,14
GEN1577,30,11,26,19,17,28,18,17,30,19,20,14
GEN1578,262,244,361,382,331,527,569,227,191,418,888,213
GEN1579,465,776,516,301,726,1560,1254,386,684,569,1184,806
GEN1580,12,33,30,33,35,44,6,6,13,15,8,19
GEN1581,377,198,287,215,206,379,319,418,245,436,627,266
GEN1582,5,2,10,4,5,12,7,7,3,18,13,10
GEN1583,26,24,56,40,34,119,56,31,37,100,66,71
GEN1584,10,11,22,10,21,17,38,9,14,24,34,23
GEN1585,4,5,4,7,0,12,9,3,14,17,10,4
GEN1586,45,92,63,58,95,114,158,58,75,148,104,98
GEN1587,65,38,60,83,104,246,107,84,99,197,57,56
GEN1588,29,35,31,44,29,45,80,55,59,112,54,60
GEN1589,13,35,31,28,48,47,50,33,31,46,67,61
GEN1590,12,14,12,21,12,33,36,13,11,37,20,11
GEN1591,34,73,68,71,58,138,109,40,49,122,115,94
GEN1592,18,37,17,22,23,47,36,21,38,56,49,29
GEN1593,77,114,102,74,91,127,222,110,87,147,188,90
GEN1594,6,11,10,12,7,21,4,1,2,5,5,4
GEN1595,53,111,60,73,97,232,95,78,94,101,125,54
GEN1596,98,91,130,108,181,213,189,112,123,278,174,185
GEN1597,386,510,454,563,508,918,607,300,342,881,657,558
GEN1598,261,344,242,331,303,677,664,264,415,680,461,344
GEN1599,70,81,106,83,54,227,137,132,80,100,108,140
GEN1600,24,18,23,18,20,56,39,27,11,41,52,14
GEN1601,7,4,0,10,3,7,9,2,4,2,8,6
GEN1602,102,50,40,39,70,93,153,78,89,140,143,55
GEN1603,614,659,508,799,491,1128,382,661,791,1511,510,708
GEN1604,751,686,1193,1104,783,1367,766,584,868,2022,948,976
GEN1605,1,0,1,0,0,2,2,0,2,3,0,1
GEN1606,25,14,18,15,14,38,44,30,22,34,29,19
GEN1607,21,20,37,30,29,98,87,33,45,65,54,70
GEN1608,8,17,10,14,11,24,29,9,12,22,13,13
GEN1609,80,101,67,105,101,130,116,61,104,83,138,78
GEN1610,83,76,35,66,55,91,90,70,45,173,127,62
GEN1611,31,21,31,25,10,52,122,59,72,173,121,37
GEN1612,70,87,51,53,72,162,81,28,67,84,96,63
GEN1613,3,8,9,1,4,14,6,2,7,10,6,5
GEN1614,5,13,8,4,13,23,24,11,23,33,10,14
GEN1615,14,9,14,14,11,39,38,15,15,35,47,35
GEN1616,237,417,242,302,230,789,405,345,147,469,617,264
GEN1617,3,8,2,7,6,9,3,2,7,7,7,3
GEN1618,28,37,66,47,42,87,47,65,41,115,50,48
GEN1619,202,251,258,184,474,305,384,169,336,317,434,308
GEN1620,49,53,55,63,69,147,91,61,68,104,90,45
GEN1621,256,164,199,297,255,577,91,40,42,76,82,48
GEN1622,25,22,34,24,28,55,37,29,23,74,38,20
GEN1623,158,148,114,117,143,277,87,95,106,236,169,107
GEN1624,363,257,280,336,297,203,751,316,391,296,820,322
GEN1625,3531,1289,1877,1570,2098,4912,2406,1762,1630,3263,4819,3234
GEN1626,192,148,208,165,245,421,326,131,305,543,381,227
GEN1627,539,701,847,939,721,1325,1067,575,562,1064,789,815
GEN1628,65,60,68,88,89,84,58,73,96,128,95,75
GEN1629,68,45,34,24,127,232,108,37,72,130,100,97
GEN1630,994,843,967,704,500,2041,1411,1137,544,1289,2360,590
GEN1631,144,168,151,154,58,183,209,108,108,340,318,169
GEN1632,268,473,527,492,497,988,1200,698,967,737,1130,888
GEN1633,201,177,131,143,237,203,213,222,100,543,252,213
GEN1634,1912,2170,1683,1377,2581,5327,3878,2280,3766,3506,1599,2749
GEN1635,3234,2176,4828,3581,2070,5071,4233,2060,2893,7062,3406,3873
GEN1636,18,18,6,28,6,45,30,43,21,47,38,14
GEN1637,1843,1311,1035,1846,958,4549,1748,935,1107,2923,1360,1328
GEN1638,136,97,172,174,145,242,166,93,122,251,169,79
GEN1639,156,126,138,113,118,221,222,127,216,201,207,192
GEN1640,63,74,38,45,82,87,67,67,90,110,123,118
GEN1641,194,238,196,123,125,345,327,173,163,444,413,439
GEN1642,8,7,10,12,12,12,103,38,90,81,88,58
GEN1643,31,15,30,22,19,44,41,24,26,49,35,24
GEN1644,22,12,15,18,15,52,32,17,24,41,66,20
GEN1645,137,176,115,128,97,185,222,77,151,205,158,140
GEN1646,302,260,385,247,367,271,382,214,443,718,421,459
GEN1647,254,196,298,211,207,386,283,208,257,402,345,179
GEN1648,67,187,83,162,115,233,214,131,138,243,234,103
GEN1649,43,24,29,28,42,76,32,34,25,49,63,26
GEN1650,4,8,4,5,7,11,5,2,4,3,3,5
GEN1651,125,79,194,164,110,154,269,101,78,176,241,126
GEN1652,21,64,71,90,64,267,110,61,80,121,125,64
GEN1653,74,138,104,206,115,269,193,98,106,249,171,137
GEN1654,490,554,542,346,603,1038,958,547,421,1138,1097,1358
GEN1655,37,65,37,39,69,100,81,50,46,97,97,70
GEN1656,38,49,61,29,64,96,90,38,53,91,85,45
GEN1657,2,3,1,1,1,3,7,1,0,4,2,2
GEN1658,86,170,294,326,172,339,328,81,246,525,179,267
GEN1659,60,43,88,69,54,92,78,75,92,164,125,71
GEN1660,28,29,6,24,28,29,39,22,19,36,25,39
GEN1661,108,144,111,215,98,286,160,140,83,178,180,158
GEN1662,21,16,15,9,9,20,26,11,18,24,31,24
GEN1663,24,15,22,36,45,37,34,28,27,38,33,42
GEN1664,1925,1713,1308,1972,1678,2360,1887,1238,1091,3153,2148,2186
GEN1665,192,198,190,390,284,435,246,267,203,239,389,229
GEN1666,315,293,352,340,275,353,515,265,283,917,482,433
GEN1667,245,193,208,255,244,276,161,150,270,473,220,365
GEN1668,286,201,194,274,195,263,80,176,159,303,294,175
GEN1669,101,135,78,157,114,285,169,102,93,310,101,90
GEN1670,2983,3002,2664,1986,1673,3665,3768,2755,1918,3517,5193,1835
GEN1671,59,71,50,81,59,92,60,44,51,114,142,84
GEN1672,199,285,260,215,297,613,317,212,224,336,283,394
GEN1673,56,36,34,52,43,91,51,67,44,56,51,63
GEN1674,29,19,32,22,28,77,35,28,44,86,51,34
GEN1675,3,4,0,0,1,3,3,1,1,0,2,1
GEN1676,4,3,3,7,3,4,6,3,7,6,3,2
GEN1677,604,542,397,982,1236,1606,1555,804,1110,1093,890,2184
GEN1678,488,493,357,829,800,1350,1049,918,1066,1328,623,1045
GEN1679,56,21,33,51,30,59,84,32,35,73,67,23
GEN1680,56,80,33,101,73,107,73,57,25,150,101,69
GEN1681,171,115,144,276,171,419,334,281,189,260,294,203
GEN1682,19,21,8,11,7,36,18,12,21,9,18,18
GEN1683,1139,1015,817,557,1479,2658,1850,1211,1086,1446,2379,1604
GEN1684,12,12,12,4,9,30,8,12,18,25,24,15
GEN1685,23,21,19,14,22,42,35,11,36,28,41,33
GEN1686,1,1,0,0,0,0,0,1,2,0,0,0
GEN1687,615,1034,967,807,850,1510,1305,368,845,1544,1461,834
GEN1688,52,133,96,61,46,167,127,83,83,117,88,75
GEN1689,674,777,1452,733,1040,1763,1475,880,804,1018,658,1132
GEN1690,19,12,12,16,7,26,16,19,19,38,18,22
GEN1691,106,92,128,152,104,308,263,62,94,311,252,238
GEN1692,54,37,69,91,97,172,110,81,113,148,91,67
GEN1693,137,118,75,120,148,204,85,103,96,73,163,65
GEN1694,1808,1999,1455,1607,946,3658,2900,900,1015,2136,2504,1468
GEN1695,1297,2698,1558,1830,3401,2974,4658,3780,2963,3576,3383,3531
GEN1696,464,460,645,542,693,952,908,308,346,1618,1285,1078
GEN1697,21,36,22,37,52,113,41,31,55,77,78,44
GEN1698,171,264,242,112,350,624,456,134,372,708,572,263
GEN1699,510,542,416,581,434,1245,478,331,711,1146,768,503
GEN1700,63,157,266,84,124,387,666,355,388,451,644,464
GEN1701,202,130,121,185,113,274,347,169,224,389,179,206
GEN1702,145,109,114,142,182,197,32,32,48,82,62,51
GEN1703,26,8,16,15,18,19,27,16,12,55,22,19
GEN1704,83,95,73,116,114,177,160,122,99,124,159,112
GEN1705,723,474,921,431,1522,1442,1328,731,662,2086,1899,1031
GEN1706,11,14,8,9,5,23,9,9,10,16,19,27
GEN1707,102,82,49,92,100,113,131,90,74,98,137,67
GEN1708,190,164,130,232,418,451,248,256,261,532,708,391
GEN1709,4,10,8,9,8,13,11,9,11,21,15,8
GEN1710,51,48,26,98,54,175,101,29,65,137,58,98
GEN1711,4,5,2,2,3,12,5,5,0,9,2,9
GEN1712,18,17,18,27,23,66,37,11,23,86,54,20
GEN1713,3,5,6,10,9,12,21,5,8,15,15,7
GEN1714,9,11,13,14,17,17,20,11,20,26,31,12
GEN1715,23,42,23,12,28,53,31,13,32,58,52,16
GEN1716,45,44,34,72,32,67,65,46,53,73,35,77
GEN1717,27,30,40,51,35,106,8,2,10,17,19,8
GEN1718,0,1,0,2,2,3,6,2,2,3,4,4
GEN1719,906,590,695,770,786,1085,724,519,742,1577,1214,601
GEN1720,26,41,36,53,64,55,64,66,37,102,80,51
GEN1721,7,10,6,2,11,20,12,12,16,9,23,16
GEN1722,18,25,17,10,18,36,42,14,19,55,32,18
GEN1723,46,152,63,102,147,175,117,57,100,181,205,220
GEN1724,4,13,18,8,5,47,11,6,8,27,22,13
GEN1725,19,47,39,38,42,91,55,29,46,45,38,25
GEN1726,48,31,17,32,29,64,42,27,30,46,45,24
GEN1727,197,120,139,137,97,398,294,157,154,199,257,129
GEN1728,21,30,15,26,17,57,29,22,25,35,32,28
GEN1729,141,100,102,97,133,297,222,108,138,216,265,154
GEN1730,96,64,125,165,139,281,172,87,72,240,290,109
GEN1731,38,20,43,52,57,134,82,36,42,141,75,50
GEN1732,422,591,528,593,381,1101,1222,371,446,1021,470,602
GEN1733,56,69,48,71,56,117,18,13,19,44,39,12
GEN1734,4,9,14,11,13,25,21,12,3,24,16,16
GEN1735,80,87,90,104,70,199,148,93,124,151,240,131
GEN1736,36,40,77,80,54,164,118,52,85,122,202,84
GEN1737,37,60,30,48,71,123,86,52,46,73,70,35
GEN1738,64,97,103,54,71,160,85,82,82,165,259,81
GEN1739,1245,3157,3436,2788,2267,5271,11718,5294,4969,10168,5620,6979
GEN1740,107,128,89,137,41,156,156,71,69,211,106,113
GEN1741,153,93,228,91,133,260,147,107,132,192,109,156
GEN1742,31,30,34,33,35,75,56,65,55,92,88,57
GEN1743,528,244,736,708,706,1266,681,561,641,610,760,617
GEN1744,46,26,86,41,46,42,93,58,61,124,95,94
GEN1745,7,13,27,24,14,54,23,22,29,14,29,33
GEN1746,1,9,4,4,10,10,27,3,6,11,5,11
GEN1747,169,102,160,154,163,403,190,154,108,263,325,179
GEN1748,189,283,167,213,151,317,191,207,151,242,369,348
GEN1749,1,7,3,2,4,12,14,5,7,10,5,3
GEN1750,21,18,11,24,21,37,25,17,24,42,39,23
GEN1751,246,139,164,299,231,332,49,27,49,48,43,69
GEN1752,288,402,274,672,330,855,270,377,307,442,745,252
GEN1753,11,12,12,11,5,23,2,2,2,1,2,1
GEN1754,26,13,33,23,42,104,52,26,33,80,60,54
GEN1755,326,280,121,273,171,473,390,195,131,487,390,306
GEN1756,22,14,34,35,25,43,36,24,17,76,38,34
GEN1757,26,28,53,33,38,62,178,134,92,90,109,125
GEN1758,18,25,30,25,28,72,40,10,22,55,44,45
GEN1759,12,6,5,9,16,11,52,44,43,58,22,59
GEN1760,103,63,67,61,44,154,126,114,69,165,107,86
GEN1761,80,114,48,68,141,260,185,57,97,171,194,192
GEN1762,5,11,10,11,10,7,7,2,8,10,15,5
GEN1763,52,37,70,109,68,171,139,92,74,136,164,154
GEN1764,345,512,184,354,335,913,414,402,462,758,574,769
GEN1765,93,86,49,72,117,119,133,47,65,128,181,102
GEN1766,255,342,253,292,254,844,257,246,256,566,466,412
GEN1767,23,38,24,34,25,28,39,31,32,20,39,32
GEN1768,588,471,281,565,471,664,799,310,565,902,630,511
GEN1769,16,12,9,24,10,55,22,10,10,46,12,22
GEN1770,847,796,1251,679,1735,3959,1686,987,598,3025,1844,1168
GEN1771,34,34,52,19,41,69,45,21,46,42,57,36
GEN1772,37,25,11,19,19,69,42,15,19,43,22,13
GEN1773,16,6,8,13,20,23,19,17,10,32,21,10
GEN1774,22,20,30,33,70,74,60,16,35,100,78,21
GEN1775,29,24,34,46,14,74,64,37,40,67,36,60
GEN1776,29,14,21,37,25,39,37,22,33,46,27,34
GEN1777,26,40,13,23,58,73,60,37,47,60,64,23
GEN1778,248,331,286,192,233,407,284,118,216,404,312,179
GEN1779,200,169,154,248,188,592,607,205,282,516,445,392
GEN1780,52,23,30,44,20,108,60,33,36,57,86,35
GEN1781,657,566,324,653,647,794,564,469,593,737,618,896
GEN1782,10,11,10,10,18,30,26,16,9,21,19,15
GEN1783,15,16,4,4,12,28,10,9,16,36,22,17
GEN1784,11,15,13,11,5,22,15,12,9,8,27,17
GEN1785,245,133,197,160,130,375,197,186,148,289,228,207
GEN1786,4,5,4,3,2,16,10,4,3,12,9,6
GEN1787,6,8,7,2,8,13,9,5,6,8,9,4
GEN1788,591,397,503,419,725,978,637,680,568,906,1158,842
GEN1789,1249,470,1122,1306,1276,3103,635,540,443,1065,827,560
GEN1790,449,663,349,699,481,858,656,273,837,1168,931,623
GEN1791,10,6,8,8,6,10,8,11,11,13,9,8
GEN1792,42,91,52,78,54,96,78,49,49,185,120,109
GEN1793,300,182,119,355,263,659,204,251,233,411,416,180
GEN1794,78,44,62,87,36,84,109,61,93,186,173,92
GEN1795,6,2,1,2,5,5,8,6,8,9,9,6
GEN1796,34,39,15,52,34,69,54,32,43,66,54,34
GEN1797,4,3,5,11,4,11,3,5,9,7,5,10
GEN1798,12,15,5,4,10,14,23,3,8,6,17,10
GEN1799,978,1724,1878,2053,2935,5672,3301,1290,2602,3742,3946,1849
GEN1800,131,195,219,145,154,297,354,132,169,361,362,308
GEN1801,7,6,7,7,7,14,8,4,7,8,8,14
GEN1802,2,3,7,6,8,13,14,1,4,26,8,9
GEN1803,164,80,155,113,187,199,187,222,135,258,171,116
GEN1804,32,14,8,37,32,68,39,37,10,58,29,27
GEN1805,148,156,184,214,171,238,213,97,192,305,204,234
GEN1806,41,26,27,19,16,68,27,23,21,44,37,18
GEN1807,25,30,38,32,64,94,69,37,51,94,69,35
GEN1808,87,98,82,77,101,171,137,38,136,160,203,50
GEN1809,8,18,10,13,19,21,10,11,15,19,20,20
GEN1810,3,1,2,3,5,5,4,1,7,4,4,1
GEN1811,10,7,12,11,10,23,4,13,12,9,18,11
GEN1812,18,6,10,16,22,50,46,20,15,18,51,28
GEN1813,13,54,39,47,58,102,107,69,37,75,65,48
GEN1814,60,70,40,59,80,115,65,71,87,96,103,54
GEN1815,30,47,44,62,64,165,133,71,62,66,96,74
